PROVINCE,DISTRICT,TEHSIL,Union Council
Khyber Pakhtunkhwa,Mansehra,Mansehra,Datta
Khyber Pakhtunkhwa,Mansehra,Mansehra,Devli Jabbar
Khyber Pakhtunkhwa,Mansehra,Mansehra,Dhodial
Khyber Pakhtunkhwa,Mansehra,Mansehra,Hamsherian
Khyber Pakhtunkhwa,Mansehra,Mansehra,Hilkot
Khyber Pakhtunkhwa,Mansehra,Mansehra,Ichherian
Khyber Pakhtunkhwa,Mansehra,Mansehra,Inayat Abad
Khyber Pakhtunkhwa,Mansehra,Mansehra,Jabori
Khyber Pakhtunkhwa,Mansehra,Mansehra,Jalloo
Khyber Pakhtunkhwa,Mansehra,Mansehra,Labar Kot
Khyber Pakhtunkhwa,Mansehra,Mansehra,Lassan Nawab
Khyber Pakhtunkhwa,Mansehra,Mansehra,Lassan Thukral
Khyber Pakhtunkhwa,Mansehra,Mansehra,Malik Pur
Khyber Pakhtunkhwa,Mansehra,Mansehra,Mansehra Rural
Khyber Pakhtunkhwa,Mansehra,Mansehra,Mc Mansehra
Khyber Pakhtunkhwa,Mansehra,Mansehra,Pairan
Khyber Pakhtunkhwa,Mansehra,Mansehra,Parhana
Khyber Pakhtunkhwa,Mansehra,Mansehra,Phulra
Khyber Pakhtunkhwa,Mansehra,Mansehra,Sacha Kalan
Khyber Pakhtunkhwa,Mansehra,Mansehra,Sanda Sar
Khyber Pakhtunkhwa,Mansehra,Mansehra,Shankiari
Khyber Pakhtunkhwa,Mansehra,Mansehra,Shoukat Abad
Khyber Pakhtunkhwa,Mansehra,Mansehra,Sum Elahi Mang
Khyber Pakhtunkhwa,Mansehra,Mansehra,Swan Mera
Khyber Pakhtunkhwa,Mansehra,Mansehra,Tarangri Sabar Shah
Khyber Pakhtunkhwa,Mansehra,Mansehra,Uc 39
Khyber Pakhtunkhwa,Mardan,Mardan,Babiani
Khyber Pakhtunkhwa,Mardan,Mardan,Bakhshali
Khyber Pakhtunkhwa,Mardan,Mardan,Bala Garhi
Khyber Pakhtunkhwa,Mardan,Mardan,Bazar
Khyber Pakhtunkhwa,Mardan,Mardan,Chak Hoti
Khyber Pakhtunkhwa,Mardan,Mardan,Chamtar
Khyber Pakhtunkhwa,Mardan,Mardan,Charguli
Khyber Pakhtunkhwa,Mardan,Mardan,Fatima
Khyber Pakhtunkhwa,Mardan,Mardan,Garhi Daulat Zai
Khyber Pakhtunkhwa,Mardan,Mardan,Garhi Ismail Zai
Khyber Pakhtunkhwa,Mardan,Mardan,Garyala
Khyber Pakhtunkhwa,Mardan,Mardan,Ghala Dher
Khyber Pakhtunkhwa,Mardan,Mardan,Gujrat
Khyber Pakhtunkhwa,Mardan,Mardan,Gumbat
Khyber Pakhtunkhwa,Mardan,Mardan,Kandar
Khyber Pakhtunkhwa,Mardan,Mardan,Kata Khat
Khyber Pakhtunkhwa,Mardan,Mardan,Khazana Dheri
Khyber Pakhtunkhwa,Mardan,Mardan,Kot Daulat Zai
Khyber Pakhtunkhwa,Mardan,Mardan,Machai
Khyber Pakhtunkhwa,Mardan,Mardan,Maho Dheri
Khyber Pakhtunkhwa,Mardan,Mardan,Mangah
Khyber Pakhtunkhwa,Mardan,Mardan,Mardan Rural
Khyber Pakhtunkhwa,Mardan,Mardan,Mayar
Khyber Pakhtunkhwa,Mardan,Mardan,Mohabat Abad
Khyber Pakhtunkhwa,Mardan,Mardan,Mohib Banda
Khyber Pakhtunkhwa,Mardan,Mardan,Palo Dheri
Khyber Pakhtunkhwa,Mardan,Mardan,Rustam
Khyber Pakhtunkhwa,Mardan,Mardan,Shahbaz Garhi
Khyber Pakhtunkhwa,Mardan,Mardan,Shahmat Pur
Khyber Pakhtunkhwa,Mardan,Mardan,Toru
Khyber Pakhtunkhwa,Mardan,Mardan,Urban
Khyber Pakhtunkhwa,Shangla,Martung,Behlool Khail
Khyber Pakhtunkhwa,Shangla,Martung,Hasham Khel Dab
Khyber Pakhtunkhwa,Shangla,Martung,Martung Khass
Khyber Pakhtunkhwa,Swat,Matta Khararai,Ashari
Khyber Pakhtunkhwa,Swat,Matta Khararai,Baydara
Khyber Pakhtunkhwa,Swat,Matta Khararai,Chuprial
Khyber Pakhtunkhwa,Swat,Matta Khararai,Darmi
Khyber Pakhtunkhwa,Swat,Matta Khararai,Dorishkhela
Khyber Pakhtunkhwa,Swat,Matta Khararai,Matta Kharari
Khyber Pakhtunkhwa,Swat,Matta Khararai,Sakhra
Khyber Pakhtunkhwa,Swat,Matta Sebujni,Arkot
Khyber Pakhtunkhwa,Swat,Matta Sebujni,Bartana
Khyber Pakhtunkhwa,Swat,Matta Sebujni,Beha
Khyber Pakhtunkhwa,Swat,Matta Sebujni,Gowalari
Khyber Pakhtunkhwa,Swat,Matta Sebujni,Pir Kalay
Khyber Pakhtunkhwa,Swat,Matta Sebujni,Showar
Khyber Pakhtunkhwa,Nowshera,Nowshera,Adam Zai
Khyber Pakhtunkhwa,Nowshera,Nowshera,Ainzari
Khyber Pakhtunkhwa,Nowshera,Nowshera,Aza Khel Bala
Khyber Pakhtunkhwa,Nowshera,Nowshera,Aza Khel Payan
Khyber Pakhtunkhwa,Nowshera,Nowshera,Badrashi
Khyber Pakhtunkhwa,Nowshera,Nowshera,Bara Banda
Khyber Pakhtunkhwa,Nowshera,Nowshera,Dheri Katti Khel
Khyber Pakhtunkhwa,Nowshera,Nowshera,Ganderi
Khyber Pakhtunkhwa,Nowshera,Nowshera,Jehangira
Khyber Pakhtunkhwa,Nowshera,Nowshera,Kabul River
Khyber Pakhtunkhwa,Nowshera,Nowshera,Kahi
Khyber Pakhtunkhwa,Nowshera,Nowshera,Khairabad
Khyber Pakhtunkhwa,Nowshera,Nowshera,Khaishki Bala
Khyber Pakhtunkhwa,Nowshera,Nowshera,Khaishki Payan
Khyber Pakhtunkhwa,Nowshera,Nowshera,M.c. Jehangera
Khyber Pakhtunkhwa,Nowshera,Nowshera,Manduri
Khyber Pakhtunkhwa,Nowshera,Nowshera,Manki Sharif
Khyber Pakhtunkhwa,Nowshera,Nowshera,Mera Akora Khattak
Khyber Pakhtunkhwa,Nowshera,Nowshera,Misri Banda
Khyber Pakhtunkhwa,Nowshera,Nowshera,Mughalki
Khyber Pakhtunkhwa,Nowshera,Nowshera,Nazampur Garu
Khyber Pakhtunkhwa,Nowshera,Nowshera,Nowshera Cantt
Khyber Pakhtunkhwa,Nowshera,Nowshera,Nowshera Kalan
Khyber Pakhtunkhwa,Nowshera,Nowshera,Pahari Kati Khel
Khyber Pakhtunkhwa,Nowshera,Nowshera,Pir Piai
Khyber Pakhtunkhwa,Nowshera,Nowshera,Pir Sabaq
Khyber Pakhtunkhwa,Nowshera,Nowshera,Rashaki
Khyber Pakhtunkhwa,Nowshera,Nowshera,Zara Miana
Khyber Pakhtunkhwa,Nowshera,Nowshera,Ziarat Kaka Sahib
Khyber Pakhtunkhwa,Mansehra,Oghi,Bandi Shungli
Khyber Pakhtunkhwa,Mansehra,Oghi,Belian
Khyber Pakhtunkhwa,Mansehra,Oghi,Dar Band
Khyber Pakhtunkhwa,Mansehra,Oghi,Dara Shanaya
Khyber Pakhtunkhwa,Mansehra,Oghi,Dilbori
Khyber Pakhtunkhwa,Mansehra,Oghi,Karhori
Khyber Pakhtunkhwa,Mansehra,Oghi,Nikapani
Khyber Pakhtunkhwa,Mansehra,Oghi,Oghi
Khyber Pakhtunkhwa,Mansehra,Oghi,Shamdhara Kathai
Khyber Pakhtunkhwa,Mansehra,Oghi,Sher Garh
Khyber Pakhtunkhwa,Nowshera,Pabbi,Akbar Pura (shindi Payan)
Khyber Pakhtunkhwa,Nowshera,Pabbi,Aman Kot
Khyber Pakhtunkhwa,Nowshera,Pabbi,Balu
Khyber Pakhtunkhwa,Nowshera,Pabbi,Banda Mohib
Khyber Pakhtunkhwa,Nowshera,Pabbi,Chouki Mamrez
Khyber Pakhtunkhwa,Nowshera,Pabbi,Dag Baisud
Khyber Pakhtunkhwa,Nowshera,Pabbi,Dag Ismail Khel Chapri
Khyber Pakhtunkhwa,Nowshera,Pabbi,Dagai
Khyber Pakhtunkhwa,Nowshera,Pabbi,Dakhli Spin Khak
Khyber Pakhtunkhwa,Nowshera,Pabbi,Jallo Zai
Khyber Pakhtunkhwa,Nowshera,Pabbi,Kuderzai Khan Sher Garhi
Khyber Pakhtunkhwa,Nowshera,Pabbi,Kurvi
Khyber Pakhtunkhwa,Nowshera,Pabbi,Shah Kot
Khyber Pakhtunkhwa,Nowshera,Pabbi,Taru
Khyber Pakhtunkhwa,Dera Ismail Khan,Paharpur,Band Korai
Khyber Pakhtunkhwa,Dera Ismail Khan,Paharpur,Bigwani Shumali
Khyber Pakhtunkhwa,Dera Ismail Khan,Paharpur,Bilot Sharif
Khyber Pakhtunkhwa,Dera Ismail Khan,Paharpur,Dhap Shumali
Khyber Pakhtunkhwa,Dera Ismail Khan,Paharpur,Kat Garh
Khyber Pakhtunkhwa,Dera Ismail Khan,Paharpur,Kech
Khyber Pakhtunkhwa,Dera Ismail Khan,Paharpur,Kirri Khaisore
Khyber Pakhtunkhwa,Dera Ismail Khan,Paharpur,Kot Jai
Khyber Pakhtunkhwa,Dera Ismail Khan,Paharpur,Lar
Khyber Pakhtunkhwa,Kohistan,Palas,Barsharyal
Khyber Pakhtunkhwa,Kohistan,Palas,Bataira Bala
Khyber Pakhtunkhwa,Kohistan,Palas,Batairspayeen
Khyber Pakhtunkhwa,Kohistan,Palas,Khas Sari
Khyber Pakhtunkhwa,Kohistan,Palas,Kolai
Khyber Pakhtunkhwa,Kohistan,Palas,Kota Kot
Khyber Pakhtunkhwa,Kohistan,Palas,Kuz Paro
Khyber Pakhtunkhwa,Kohistan,Palas,Mada Khail
Khyber Pakhtunkhwa,Kohistan,Palas,Mareen
Khyber Pakhtunkhwa,Kohistan,Palas,Peach Bela
Khyber Pakhtunkhwa,Kohistan,Palas,Qillah
Khyber Pakhtunkhwa,Kohistan,Palas,Shaman
Khyber Pakhtunkhwa,Kohistan,Palas,Shara Kot
Khyber Pakhtunkhwa,Kohistan,Palas,Shared
Khyber Pakhtunkhwa,Kohistan,Palas,Shilken Abad
Khyber Pakhtunkhwa,Kohistan,Pattan,Bankhad
Khyber Pakhtunkhwa,Kohistan,Pattan,Chowa Dara
Khyber Pakhtunkhwa,Kohistan,Pattan,Dobair Bala
Khyber Pakhtunkhwa,Kohistan,Pattan,Dobair Khas
Khyber Pakhtunkhwa,Kohistan,Pattan,Dobair Pain
Khyber Pakhtunkhwa,Kohistan,Pattan,Jijal
Khyber Pakhtunkhwa,Kohistan,Pattan,Keyal
Khyber Pakhtunkhwa,Kohistan,Pattan,Mandraza
Khyber Pakhtunkhwa,Kohistan,Pattan,Pattan
Khyber Pakhtunkhwa,Kohistan,Pattan,Ranolia
Khyber Pakhtunkhwa,Kohistan,Pattan,Sagayon
Khyber Pakhtunkhwa,Kohistan,Pattan,Shabi Khail Dara
Khyber Pakhtunkhwa,Peshawar,Peshawar,Achini Bala
Khyber Pakhtunkhwa,Peshawar,Peshawar,Adezai
Khyber Pakhtunkhwa,Peshawar,Peshawar,Aza Khel
Khyber Pakhtunkhwa,Peshawar,Peshawar,Bada Ber Huri Zai
Khyber Pakhtunkhwa,Peshawar,Peshawar,Bada-ber Maryam Zai
Khyber Pakhtunkhwa,Peshawar,Peshawar,Bazid Khel
Khyber Pakhtunkhwa,Peshawar,Peshawar,Budhni
Khyber Pakhtunkhwa,Peshawar,Peshawar,Chaghar Matti
Khyber Pakhtunkhwa,Peshawar,Peshawar,Cham-kani
Khyber Pakhtunkhwa,Peshawar,Peshawar,Dag
Khyber Pakhtunkhwa,Peshawar,Peshawar,Garhi Sher Dad
Khyber Pakhtunkhwa,Peshawar,Peshawar,Gul Bela
Khyber Pakhtunkhwa,Peshawar,Peshawar,Haryana Payan
Khyber Pakhtunkhwa,Peshawar,Peshawar,Jogani
Khyber Pakhtunkhwa,Peshawar,Peshawar,Kafoor Dheri
Khyber Pakhtunkhwa,Peshawar,Peshawar,Kaniza
Khyber Pakhtunkhwa,Peshawar,Peshawar,Kankola
Khyber Pakhtunkhwa,Peshawar,Peshawar,Khatki
Khyber Pakhtunkhwa,Peshawar,Peshawar,Khazana
Khyber Pakhtunkhwa,Peshawar,Peshawar,Lala
Khyber Pakhtunkhwa,Peshawar,Peshawar,Laram
Khyber Pakhtunkhwa,Peshawar,Peshawar,Maryam Zai
Khyber Pakhtunkhwa,Peshawar,Peshawar,Mashu-gaggar
Khyber Pakhtunkhwa,Peshawar,Peshawar,Mathra
Khyber Pakhtunkhwa,Peshawar,Peshawar,Mattani
Khyber Pakhtunkhwa,Peshawar,Peshawar,Mira Kachori
Khyber Pakhtunkhwa,Peshawar,Peshawar,Musa Zai
Khyber Pakhtunkhwa,Peshawar,Peshawar,Nahaqi
Khyber Pakhtunkhwa,Peshawar,Peshawar,Pajjagi
Khyber Pakhtunkhwa,Peshawar,Peshawar,Pakha Ghulam
Khyber Pakhtunkhwa,Peshawar,Peshawar,Palosi
Khyber Pakhtunkhwa,Peshawar,Peshawar,Panam Dheri
Khyber Pakhtunkhwa,Peshawar,Peshawar,Pushta Khara Payan
Khyber Pakhtunkhwa,Peshawar,Peshawar,Regi
Khyber Pakhtunkhwa,Peshawar,Peshawar,Sarband
Khyber Pakhtunkhwa,Peshawar,Peshawar,Shahi Bala
Khyber Pakhtunkhwa,Peshawar,Peshawar,Sheikh Mohammad
Khyber Pakhtunkhwa,Peshawar,Peshawar,Sheikhan
Khyber Pakhtunkhwa,Peshawar,Peshawar,Sher-kera
Khyber Pakhtunkhwa,Peshawar,Peshawar,Soro Zai Bala
Khyber Pakhtunkhwa,Peshawar,Peshawar,Soro Zai Payan
Khyber Pakhtunkhwa,Peshawar,Peshawar,Sufaid Dheri
Khyber Pakhtunkhwa,Peshawar,Peshawar,Suleman Khel
Khyber Pakhtunkhwa,Peshawar,Peshawar,Takhat Abad
Khyber Pakhtunkhwa,Peshawar,Peshawar,Urban
Khyber Pakhtunkhwa,Peshawar,Peshawar,Urban Ar
Khyber Pakhtunkhwa,Peshawar,Peshawar,Urmur Bala
Khyber Pakhtunkhwa,Peshawar,Peshawar,Urmur Miana
Khyber Pakhtunkhwa,Peshawar,Peshawar,Urmur Payan
Khyber Pakhtunkhwa,Peshawar,Peshawar,Wad Paga
Khyber Pakhtunkhwa,Buner,Pir Baba/ Gadaizi,Ab Khail
Khyber Pakhtunkhwa,Buner,Pir Baba/ Gadaizi,Gadaizi
Khyber Pakhtunkhwa,Buner,Pir Baba/ Gadaizi,Mali Khel
Khyber Pakhtunkhwa,Buner,Pir Baba/ Gadaizi,Malikpur
Khyber Pakhtunkhwa,Buner,Pir Baba/ Gadaizi,Pachakilay
Khyber Pakhtunkhwa,Shangla,Puran,Aluch
Khyber Pakhtunkhwa,Shangla,Puran,Banglai
Khyber Pakhtunkhwa,Shangla,Puran,Bar Puran
Khyber Pakhtunkhwa,Shangla,Puran,Choga
Khyber Pakhtunkhwa,Shangla,Puran,Musa Khail
Khyber Pakhtunkhwa,Malakand P.a.,Sam Ranizai,Badraga
Khyber Pakhtunkhwa,Malakand P.a.,Sam Ranizai,Dargai
Khyber Pakhtunkhwa,Malakand P.a.,Sam Ranizai,Ghari Usmani Khel
Khyber Pakhtunkhwa,Malakand P.a.,Sam Ranizai,Hero Shah
Khyber Pakhtunkhwa,Malakand P.a.,Sam Ranizai,Kharki
Khyber Pakhtunkhwa,Malakand P.a.,Sam Ranizai,Kopper
Khyber Pakhtunkhwa,Malakand P.a.,Sam Ranizai,Sakhkot
Khyber Pakhtunkhwa,Malakand P.a.,Sam Ranizai,Sakhkot Bandajat
Khyber Pakhtunkhwa,Malakand P.a.,Sam Ranizai,Warter
Khyber Pakhtunkhwa,Lakki Marwat,Sarai Naurang,Baist Khel
Khyber Pakhtunkhwa,Lakki Marwat,Sarai Naurang,Bakhmal Ahmadzai
Khyber Pakhtunkhwa,Lakki Marwat,Sarai Naurang,Gandi Khan Khel
Khyber Pakhtunkhwa,Lakki Marwat,Sarai Naurang,Kot Kashmir
Khyber Pakhtunkhwa,Lakki Marwat,Sarai Naurang,Mama Khel
Khyber Pakhtunkhwa,Lakki Marwat,Sarai Naurang,Mar Mandi Azim
Khyber Pakhtunkhwa,Lakki Marwat,Sarai Naurang,Mash Masti Khani
Khyber Pakhtunkhwa,Lakki Marwat,Sarai Naurang,Nar Abu Samand Bego Khel
Khyber Pakhtunkhwa,Lakki Marwat,Sarai Naurang,Nar Sultan Muqarab
Khyber Pakhtunkhwa,Lakki Marwat,Sarai Naurang,Sarai Naurang
Khyber Pakhtunkhwa,Lakki Marwat,Sarai Naurang,Serai Naurang (town)
Khyber Pakhtunkhwa,Lakki Marwat,Sarai Naurang,Sheikh Kuly Khan
Khyber Pakhtunkhwa,Lakki Marwat,Sarai Naurang,Takhti Khel
Khyber Pakhtunkhwa,Swabi,Swabi,Adina
Khyber Pakhtunkhwa,Swabi,Swabi,Asota
Khyber Pakhtunkhwa,Swabi,Swabi,Bachai
Khyber Pakhtunkhwa,Swabi,Swabi,Bam Khel
Khyber Pakhtunkhwa,Swabi,Swabi,Chak Naudeh
Khyber Pakhtunkhwa,Swabi,Swabi,Dagai
Khyber Pakhtunkhwa,Swabi,Swabi,Gar Munara
Khyber Pakhtunkhwa,Swabi,Swabi,Ismaila
Khyber Pakhtunkhwa,Swabi,Swabi,Jhanda
Khyber Pakhtunkhwa,Swabi,Swabi,Kalu Khan
Khyber Pakhtunkhwa,Swabi,Swabi,Maniri Bala
Khyber Pakhtunkhwa,Swabi,Swabi,Murghuz
Khyber Pakhtunkhwa,Swabi,Swabi,Naranji
Khyber Pakhtunkhwa,Swabi,Swabi,Naudeh
Khyber Pakhtunkhwa,Swabi,Swabi,Pabni
Khyber Pakhtunkhwa,Swabi,Swabi,Panj Pir
Khyber Pakhtunkhwa,Swabi,Swabi,Parmooli
Khyber Pakhtunkhwa,Swabi,Swabi,Salim Khan
Khyber Pakhtunkhwa,Swabi,Swabi,Shah Mansur
Khyber Pakhtunkhwa,Swabi,Swabi,Shawa
Khyber Pakhtunkhwa,Swabi,Swabi,Sheikh Jana
Khyber Pakhtunkhwa,Swabi,Swabi,Swabi
Khyber Pakhtunkhwa,Swabi,Swabi,Tarakai
Khyber Pakhtunkhwa,Swabi,Swabi,Thand Kohi
Khyber Pakhtunkhwa,Swabi,Swabi,Tur Landi
Khyber Pakhtunkhwa,Swabi,Swabi,Zaida
Khyber Pakhtunkhwa,Malakand P.a.,Swat Ranizai,Agra
Khyber Pakhtunkhwa,Malakand P.a.,Swat Ranizai,Bat Khela
Khyber Pakhtunkhwa,Malakand P.a.,Swat Ranizai,Dheri Alla Dand
Khyber Pakhtunkhwa,Malakand P.a.,Swat Ranizai,Dheri Julgram
Khyber Pakhtunkhwa,Malakand P.a.,Swat Ranizai,Khar
Khyber Pakhtunkhwa,Malakand P.a.,Swat Ranizai,Kot
Khyber Pakhtunkhwa,Malakand P.a.,Swat Ranizai,Palai
Khyber Pakhtunkhwa,Malakand P.a.,Swat Ranizai,Pir Khel
Khyber Pakhtunkhwa,Malakand P.a.,Swat Ranizai,Selai Patti
Khyber Pakhtunkhwa,Malakand P.a.,Swat Ranizai,Thana Banda J
Khyber Pakhtunkhwa,Malakand P.a.,Swat Ranizai,Thana Bandajat
Khyber Pakhtunkhwa,Malakand P.a.,Swat Ranizai,Totaken
Khyber Pakhtunkhwa,Mardan,Takht Bhai,Gujar Garhi
Khyber Pakhtunkhwa,Mardan,Takht Bhai,Hatthian
Khyber Pakhtunkhwa,Mardan,Takht Bhai,Jahangir Abad
Khyber Pakhtunkhwa,Mardan,Takht Bhai,Jalala
Khyber Pakhtunkhwa,Mardan,Takht Bhai,Kot Jongarh
Khyber Pakhtunkhwa,Mardan,Takht Bhai,Makori
Khyber Pakhtunkhwa,Mardan,Takht Bhai,Manday Baba
Khyber Pakhtunkhwa,Mardan,Takht Bhai,Mian Isa
Khyber Pakhtunkhwa,Mardan,Takht Bhai,Narai
Khyber Pakhtunkhwa,Mardan,Takht Bhai,Parkho Dheri
Khyber Pakhtunkhwa,Mardan,Takht Bhai,Pir Saddo
Khyber Pakhtunkhwa,Mardan,Takht Bhai,Saro Shah
Khyber Pakhtunkhwa,Mardan,Takht Bhai,Seri Behlol
Khyber Pakhtunkhwa,Mardan,Takht Bhai,Takar
Khyber Pakhtunkhwa,Mardan,Takht Bhai,Urban
Khyber Pakhtunkhwa,Karak,Takht E Nasrati,Ahmadabad
Khyber Pakhtunkhwa,Karak,Takht E Nasrati,Choukara
Khyber Pakhtunkhwa,Karak,Takht E Nasrati,Isak Chountra
Khyber Pakhtunkhwa,Karak,Takht E Nasrati,Jahangiri
Khyber Pakhtunkhwa,Karak,Takht E Nasrati,Mianki Banda
Khyber Pakhtunkhwa,Karak,Takht E Nasrati,Paloosa Sar
Khyber Pakhtunkhwa,Karak,Takht E Nasrati,Shenawa Gudi Khel
Khyber Pakhtunkhwa,Karak,Takht E Nasrati,Siraj Khel
Khyber Pakhtunkhwa,Karak,Takht E Nasrati,Takhat Nasrati
Khyber Pakhtunkhwa,Charsadda,Tangi,Aba Zai
Khyber Pakhtunkhwa,Charsadda,Tangi,Dakki
Khyber Pakhtunkhwa,Charsadda,Tangi,Gandira
Khyber Pakhtunkhwa,Charsadda,Tangi,Harichand
Khyber Pakhtunkhwa,Charsadda,Tangi,Hisara Nehri
Khyber Pakhtunkhwa,Charsadda,Tangi,Koz Behram Dheri
Khyber Pakhtunkhwa,Charsadda,Tangi,Mandani
Khyber Pakhtunkhwa,Charsadda,Tangi,Mirza Dher
Khyber Pakhtunkhwa,Charsadda,Tangi,Sher Pao
Khyber Pakhtunkhwa,Charsadda,Tangi,Showdag
Khyber Pakhtunkhwa,Charsadda,Tangi,Ziam
Khyber Pakhtunkhwa,Tank,Tank,Ama Khel
Khyber Pakhtunkhwa,Tank,Tank,Dabrah
Khyber Pakhtunkhwa,Tank,Tank,Ghara Baloch
Khyber Pakhtunkhwa,Tank,Tank,Gomal
Khyber Pakhtunkhwa,Tank,Tank,Gul Imam
Khyber Pakhtunkhwa,Tank,Tank,Jatataar
Khyber Pakhtunkhwa,Tank,Tank,Mulla Zai
Khyber Pakhtunkhwa,Tank,Tank,Pai
Khyber Pakhtunkhwa,Tank,Tank,Ranwal
Khyber Pakhtunkhwa,Tank,Tank,Sarangzona
Khyber Pakhtunkhwa,Tank,Tank,Shah Alam
Khyber Pakhtunkhwa,Tank,Tank,Tank Urban
Khyber Pakhtunkhwa,Tank,Tank,Tatta
Khyber Pakhtunkhwa,Tank,Tank,Utar
Khyber Pakhtunkhwa,Tank,Tank,Warspoon
Khyber Pakhtunkhwa,Swabi,Topi,Batakara
Khyber Pakhtunkhwa,Swabi,Topi,Gandaf
Khyber Pakhtunkhwa,Swabi,Topi,Gani Chatra
Khyber Pakhtunkhwa,Swabi,Topi,Ghabsani
Khyber Pakhtunkhwa,Swabi,Topi,Kabgani
Khyber Pakhtunkhwa,Swabi,Topi,Kalabat
Khyber Pakhtunkhwa,Swabi,Topi,Kotha
Khyber Pakhtunkhwa,Swabi,Topi,Maini
Khyber Pakhtunkhwa,Swabi,Topi,Murghuz
Khyber Pakhtunkhwa,Swabi,Topi,Pabni
Khyber Pakhtunkhwa,Swabi,Topi,Topi East
Khyber Pakhtunkhwa,Swabi,Topi,Topi West
Khyber Pakhtunkhwa,Swabi,Topi,Zarobi
Khyber Pakhtunkhwa,Buner,Totalai,Chinglai
Khyber Pakhtunkhwa,Buner,Totalai,Ghurghushtu
Khyber Pakhtunkhwa,Buner,Totalai,Sarwai
Khyber Pakhtunkhwa,Buner,Totalai,Totalai
Khyber Pakhtunkhwa,Hangu,Tall,Nayab Uc
Khyber Pakhtunkhwa,Hangu,Tall,Tall Uc
Khyber Pakhtunkhwa,Hangu,Tall,Dallan Uc
Khyber Pakhtunkhwa,Hangu,Tall,Karbogha Uc
Khyber Pakhtunkhwa,Hangu,Tall,Torawari Uc
Khyber Pakhtunkhwa,Hangu,Tall,Darsmand Uc
Khyber Pakhtunkhwa,Hangu,Tall,Doaba Tc
Khyber Pakhtunkhwa,Hangu,Tall,Doaba Uc
Khyber Pakhtunkhwa,Hangu,Tall,Tall Mc
Khyber Pakhtunkhwa,Hangu,Hangu,Muhammad Khawaja
Khyber Pakhtunkhwa,Hangu,Hangu,Kahi
Khyber Pakhtunkhwa,Hangu,Hangu,Kach Banda
Khyber Pakhtunkhwa,Hangu,Hangu,Daraband
Khyber Pakhtunkhwa,Hangu,Hangu,Kotki
Khyber Pakhtunkhwa,Hangu,Hangu,Mc
Khyber Pakhtunkhwa,Hangu,Hangu,Toghseri
Khyber Pakhtunkhwa,Hangu,Hangu,Raisan
Khyber Pakhtunkhwa,Chitral,Mastuj,Yarkhoon
Khyber Pakhtunkhwa,Chitral,Mastuj,Khot
Khyber Pakhtunkhwa,Chitral,Mastuj,Terich
Khyber Pakhtunkhwa,Chitral,Mastuj,Shagram
Khyber Pakhtunkhwa,Chitral,Chitral,Shogore
Khyber Pakhtunkhwa,Chitral,Mastuj,Charun
Khyber Pakhtunkhwa,Chitral,Mastuj,Mulkoh
Khyber Pakhtunkhwa,Chitral,Mastuj,Kosht
Khyber Pakhtunkhwa,Chitral,Chitral,Lot Koh
Khyber Pakhtunkhwa,Chitral,Mastuj,Laspur
Khyber Pakhtunkhwa,Chitral,Mastuj,Oweer
Khyber Pakhtunkhwa,Chitral,Mastuj,Mastuj
Khyber Pakhtunkhwa,Chitral,Chitral,Karimabad
Khyber Pakhtunkhwa,Chitral,Chitral,Danin
Khyber Pakhtunkhwa,Chitral,Chitral,M.c Chitral
Khyber Pakhtunkhwa,Chitral,Chitral,Ayun
Khyber Pakhtunkhwa,Chitral,Chitral,Broze
Khyber Pakhtunkhwa,Chitral,Chitral,Sheshi Koh
Khyber Pakhtunkhwa,Chitral,Chitral,Asherat
Khyber Pakhtunkhwa,Upper Dir,Dir,Dogdara
Khyber Pakhtunkhwa,Chitral,Chitral,Arandu
Khyber Pakhtunkhwa,Upper Dir,Dir,Sawni
Khyber Pakhtunkhwa,Upper Dir,Dir,Qolundy
Khyber Pakhtunkhwa,Upper Dir,Dir,Taraptar
Khyber Pakhtunkhwa,Upper Dir,Barawal,Darikund
Khyber Pakhtunkhwa,Upper Dir,Barawal,Barawal
Khyber Pakhtunkhwa,Upper Dir,Dir,Bibiawar
Khyber Pakhtunkhwa,Upper Dir,Barawal,Shahikot
Khyber Pakhtunkhwa,Upper Dir,Dir,Palam
Khyber Pakhtunkhwa,Upper Dir,Dir,Jabar
Khyber Pakhtunkhwa,Upper Dir,Dir,Darora
Khyber Pakhtunkhwa,Upper Dir,Wari,Kotkai W
Khyber Pakhtunkhwa,Upper Dir,Wari,Sundal
Khyber Pakhtunkhwa,Lower Dir,Timergara,Ziamdara
Khyber Pakhtunkhwa,Lower Dir,Samar Bagh,Maskenai
Khyber Pakhtunkhwa,Lower Dir,Timergara,Lal Qila
Khyber Pakhtunkhwa,Upper Dir,Wari,Wari
Khyber Pakhtunkhwa,Upper Dir,Wari,Chapper
Khyber Pakhtunkhwa,Lower Dir,Samar Bagh,Kabat
Khyber Pakhtunkhwa,Lower Dir,Samar Bagh,Darangal
Khyber Pakhtunkhwa,Upper Dir,Wari,Akhagram
Khyber Pakhtunkhwa,Lower Dir,Samar Bagh,Mayar
Khyber Pakhtunkhwa,Upper Dir,Wari,Khal
Khyber Pakhtunkhwa,Lower Dir,Timergara,Lajbook
Khyber Pakhtunkhwa,Upper Dir,Wari,Toormang
Khyber Pakhtunkhwa,Lower Dir,Timergara,M.c Timergara Urban
